Hashes,Puzzle A Cases,Puzzle B Cases
1,1,0
2,1,0
3,1,0
4,1,1
5,1,4
6,1,10
7,1,20
8,1,35
9,1,56
10,1,84
11,1,120
12,1,165
13,1,220
14,1,286
15,1,364
16,1,455
17,1,560
18,1,680
19,1,816
20,1,969
21,1,1140
22,1,1330
23,1,1540
24,1,1771
25,1,2024
26,1,2300
27,1,2600
28,1,2925
29,1,3276
30,1,3654
31,1,4060
32,1,4495
33,1,4960
34,1,5456
35,1,5984
36,1,6545
37,1,7140
38,1,7770
39,1,8436
40,1,9139
41,1,9880
42,1,10660
43,1,11480
44,1,12341
45,1,13244
46,1,14190
47,1,15180
48,1,16215
49,1,17296
50,1,18424
51,1,19600
52,1,20825
53,1,22100
54,1,23426
55,1,24804
56,1,26235
57,1,27720
58,1,29260
59,1,30856
60,1,32509
61,1,34220
62,1,35990
63,1,37820
64,1,39711
65,1,41664
66,1,43680
67,1,45760
68,1,47901
69,1,50100
70,1,52354
71,1,54660
72,1,57015
73,1,59416
74,1,61860
75,1,64344
76,1,66865
77,1,69420
78,1,72006
79,1,74620
80,1,77259
81,1,79920
82,1,82600
83,1,85296
84,1,88005
85,1,90724
86,1,93450
87,1,96180
88,1,98911
89,1,101640
90,1,104364
91,1,107080
92,1,109785
93,1,112476
94,1,115150
95,1,117804
96,1,120435
97,1,123040
98,1,125616
99,1,128160
100,1,130669
101,1,133140
102,1,135570
103,1,137956
104,1,140295
105,1,142584
106,1,144820
107,1,147000
108,1,149121
109,1,151180
110,1,153174
111,1,155100
112,1,156955
113,1,158736
114,1,160440
115,1,162064
116,1,163605
117,1,165060
118,1,166426
119,1,167700
120,1,168879
121,1,169960
122,1,170940
123,1,171816
124,1,172585
125,1,173244
126,1,173790
127,1,174220
128,1,174531
129,1,174720
130,1,174784
131,1,174720
132,1,174531
133,1,174220
134,1,173790
135,1,173244
136,1,172585
137,1,171816
138,1,170940
139,1,169960
140,1,168879
141,1,167700
142,1,166426
143,1,165060
144,1,163605
145,1,162064
146,1,160440
147,1,158736
148,1,156955
149,1,155100
150,1,153174
151,1,151180
152,1,149121
153,1,147000
154,1,144820
155,1,142584
156,1,140295
157,1,137956
158,1,135570
159,1,133140
160,1,130669
161,1,128160
162,1,125616
163,1,123040
164,1,120435
165,1,117804
166,1,115150
167,1,112476
168,1,109785
169,1,107080
170,1,104364
171,1,101640
172,1,98911
173,1,96180
174,1,93450
175,1,90724
176,1,88005
177,1,85296
178,1,82600
179,1,79920
180,1,77259
181,1,74620
182,1,72006
183,1,69420
184,1,66865
185,1,64344
186,1,61860
187,1,59416
188,1,57015
189,1,54660
190,1,52354
191,1,50100
192,1,47901
193,1,45760
194,1,43680
195,1,41664
196,1,39711
197,1,37820
198,1,35990
199,1,34220
200,1,32509
201,1,30856
202,1,29260
203,1,27720
204,1,26235
205,1,24804
206,1,23426
207,1,22100
208,1,20825
209,1,19600
210,1,18424
211,1,17296
212,1,16215
213,1,15180
214,1,14190
215,1,13244
216,1,12341
217,1,11480
218,1,10660
219,1,9880
220,1,9139
221,1,8436
222,1,7770
223,1,7140
224,1,6545
225,1,5984
226,1,5456
227,1,4960
228,1,4495
229,1,4060
230,1,3654
231,1,3276
232,1,2925
233,1,2600
234,1,2300
235,1,2024
236,1,1771
237,1,1540
238,1,1330
239,1,1140
240,1,969
241,1,816
242,1,680
243,1,560
244,1,455
245,1,364
246,1,286
247,1,220
248,1,165
249,1,120
250,1,84
251,1,56
252,1,35
253,1,20
254,1,10
255,1,4
256,1,1
